DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,3 | 2025-04-08T15:56:22.4797643Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 26,0 | 2025-04-08T15:56:38.7065690Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 20,1 | 2025-04-08T15:57:22.4882201Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 21,5 | 2025-04-08T15:57:38.7236615Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,3 | 2025-04-08T15:58:22.4934066Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 20,9 | 2025-04-08T15:58:38.7421344Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 19,8 | 2025-04-08T15:59:22.4972316Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 20,2 | 2025-04-08T15:59:38.7582912Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,3 | 2025-04-08T16:00:22.5137643Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 25,7 | 2025-04-08T16:00:38.7705100Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 25,4 | 2025-04-08T16:01:22.5189428Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 21,0 | 2025-04-08T16:01:38.7856427Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 18,7 | 2025-04-08T16:02:22.5368829Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 24,1 | 2025-04-08T16:02:38.8001287Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,1 | 2025-04-08T16:03:22.5454152Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 22,0 | 2025-04-08T16:03:38.8162552Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 22,1 | 2025-04-08T16:04:22.5502640Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 20,8 | 2025-04-08T16:04:38.8342058Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 24,5 | 2025-04-08T16:05:22.5603200Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 24,9 | 2025-04-08T16:05:38.8450031Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,2 | 2025-04-08T16:06:22.5682323Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 24,6 | 2025-04-08T16:06:38.8649552Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 18,6 | 2025-04-08T16:07:22.5752588Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 25,4 | 2025-04-08T16:07:38.8743516Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 18,8 | 2025-04-08T16:08:22.5862389Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 25,5 | 2025-04-08T16:08:38.8936975Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 19,9 | 2025-04-08T16:09:22.5957772Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 22,3 | 2025-04-08T16:09:38.9092106Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 20,7 | 2025-04-08T16:10:22.6118049Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 22,5 | 2025-04-08T16:10:38.9271169Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 25,1 | 2025-04-08T16:11:22.6257066Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 22,9 | 2025-04-08T16:11:38.9438737Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,5 | 2025-04-08T16:12:22.6453200Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 20,2 | 2025-04-08T16:12:38.9652094Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 18,5 | 2025-04-08T16:13:22.6623788Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 23,3 | 2025-04-08T16:13:38.9847379Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 20,8 | 2025-04-08T16:14:22.6694296Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 21,5 | 2025-04-08T16:14:39.0009719Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 20,0 | 2025-04-08T16:15:22.6851583Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 18,6 | 2025-04-08T16:15:39.0132618Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,3 | 2025-04-08T16:16:22.6995760Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 23,2 | 2025-04-08T16:16:39.0315707Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,4 | 2025-04-08T16:17:22.7110989Z
DADOS | DADOS | WAVY_03 | AGREGADOR_2 | Temperatura | 25,0 | 2025-04-08T16:17:39.0455141Z
DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,0 | 2025-04-08T16:18:22.7319138Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 25,7 | 2025-04-08T15:56:08.7064475Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 18,4 | 2025-04-08T15:56:35.8583938Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,0 | 2025-04-08T15:57:08.7261840Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 19,9 | 2025-04-08T15:57:12.6793280Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 21,9 | 2025-04-08T15:57:15.8412462Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 19,7 | 2025-04-08T15:57:35.8790937Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,1 | 2025-04-08T15:58:08.7355937Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 24,2 | 2025-04-08T15:58:12.6980776Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 25,1 | 2025-04-08T15:58:15.8623857Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,7 | 2025-04-08T15:58:35.8913816Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,5 | 2025-04-08T15:59:08.7506631Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,4 | 2025-04-08T15:59:12.7088879Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 24,3 | 2025-04-08T15:59:15.8693923Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 23,1 | 2025-04-08T15:59:35.9043968Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,6 | 2025-04-08T16:00:08.7636779Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 21,5 | 2025-04-08T16:00:12.7308114Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 22,3 | 2025-04-08T16:00:15.8789447Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 18,8 | 2025-04-08T16:00:35.9196737Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 25,0 | 2025-04-08T16:01:08.7718505Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 23,8 | 2025-04-08T16:01:12.7407096Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 22,0 | 2025-04-08T16:01:15.8892312Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 22,1 | 2025-04-08T16:01:35.9344593Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,2 | 2025-04-08T16:02:08.7879115Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,9 | 2025-04-08T16:02:12.7533296Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 23,5 | 2025-04-08T16:02:15.9033160Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 20,2 | 2025-04-08T16:02:35.9529879Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,6 | 2025-04-08T16:03:08.7912625Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,8 | 2025-04-08T16:03:12.7635958Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 19,1 | 2025-04-08T16:03:15.9104957Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 23,5 | 2025-04-08T16:03:35.9672044Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,8 | 2025-04-08T16:04:08.8030081Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,5 | 2025-04-08T16:04:12.7847231Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 24,8 | 2025-04-08T16:04:15.9187467Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 18,4 | 2025-04-08T16:04:35.9880400Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,8 | 2025-04-08T16:05:08.8104492Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 24,7 | 2025-04-08T16:05:12.8034861Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 18,5 | 2025-04-08T16:05:15.9370442Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 20,1 | 2025-04-08T16:05:36.0131074Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 25,9 | 2025-04-08T16:06:08.8278098Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,0 | 2025-04-08T16:06:12.8156781Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 19,9 | 2025-04-08T16:06:15.9534161Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 20,9 | 2025-04-08T16:06:36.0172242Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,2 | 2025-04-08T16:07:08.8374986Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,9 | 2025-04-08T16:07:12.8218253Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 20,5 | 2025-04-08T16:07:15.9723536Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,1 | 2025-04-08T16:07:36.0283721Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 22,2 | 2025-04-08T16:08:08.8552728Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 22,5 | 2025-04-08T16:08:12.8432802Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 18,3 | 2025-04-08T16:08:15.9892299Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 19,4 | 2025-04-08T16:08:36.0336286Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,5 | 2025-04-08T16:09:08.8601485Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 18,4 | 2025-04-08T16:09:12.8652173Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 23,1 | 2025-04-08T16:09:15.9952829Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 25,4 | 2025-04-08T16:09:36.0449750Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,5 | 2025-04-08T16:10:08.8683675Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,5 | 2025-04-08T16:10:12.8812432Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 21,3 | 2025-04-08T16:10:16.0165194Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 20,9 | 2025-04-08T16:10:36.0625673Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,1 | 2025-04-08T16:11:08.8836234Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 22,0 | 2025-04-08T16:11:12.8992791Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 19,6 | 2025-04-08T16:11:16.0411995Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,6 | 2025-04-08T16:11:36.0797775Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,1 | 2025-04-08T16:12:08.9016630Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 22,0 | 2025-04-08T16:12:12.9094886Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 25,7 | 2025-04-08T16:12:16.0610712Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 24,3 | 2025-04-08T16:12:36.0882432Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 19,3 | 2025-04-08T16:13:08.9096230Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 21,5 | 2025-04-08T16:13:12.9241613Z
