DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 90,6 | 2025-05-26T20:12:24.9785021Z
DADOS | WAVY_45 | AGREGADOR_2 | Humidade | 86,7 | 2025-05-26T20:12:25.7431031Z
DADOS | WAVY_46 | AGREGADOR_2 | Humidade | 80,1 | 2025-05-26T20:12:26.2796831Z
DADOS | WAVY_53 | AGREGADOR_2 | Humidade | 42,8 | 2025-05-26T20:12:38.3452288Z
DADOS | WAVY_54 | AGREGADOR_2 | Humidade | 56,5 | 2025-05-26T20:12:39.1941516Z
DADOS | WAVY_55 | AGREGADOR_2 | Humidade | 38,9 | 2025-05-26T20:12:39.8508089Z
DADOS | WAVY_62 | AGREGADOR_2 | Humidade | 38,0 | 2025-05-26T20:12:50.9162545Z
DADOS | WAVY_63 | AGREGADOR_2 | Humidade | 41,3 | 2025-05-26T20:12:51.7445192Z
DADOS | WAVY_64 | AGREGADOR_2 | Humidade | 96,2 | 2025-05-26T20:12:52.5071189Z
DADOS | WAVY_71 | AGREGADOR_2 | Humidade | 74,0 | 2025-05-26T20:13:04.1101522Z
DADOS | WAVY_72 | AGREGADOR_2 | Humidade | 89,0 | 2025-05-26T20:13:05.0780581Z
DADOS | WAVY_73 | AGREGADOR_2 | Humidade | 49,7 | 2025-05-26T20:13:05.9390767Z
DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 82,6 | 2025-05-26T20:13:25.1454131Z
DADOS | WAVY_45 | AGREGADOR_2 | Humidade | 61,6 | 2025-05-26T20:13:25.8632198Z
DADOS | WAVY_46 | AGREGADOR_2 | Humidade | 96,8 | 2025-05-26T20:13:26.4099282Z
DADOS | WAVY_53 | AGREGADOR_2 | Humidade | 91,0 | 2025-05-26T20:13:38.4836995Z
DADOS | WAVY_54 | AGREGADOR_2 | Humidade | 46,4 | 2025-05-26T20:13:39.3427673Z
DADOS | WAVY_55 | AGREGADOR_2 | Humidade | 72,2 | 2025-05-26T20:13:39.9939836Z
DADOS | WAVY_62 | AGREGADOR_2 | Humidade | 46,1 | 2025-05-26T20:13:51.0712275Z
DADOS | WAVY_63 | AGREGADOR_2 | Humidade | 36,2 | 2025-05-26T20:13:51.8876925Z
DADOS | WAVY_64 | AGREGADOR_2 | Humidade | 56,5 | 2025-05-26T20:13:52.6802207Z
DADOS | WAVY_71 | AGREGADOR_2 | Humidade | 45,1 | 2025-05-26T20:14:04.2530636Z
DADOS | WAVY_72 | AGREGADOR_2 | Humidade | 85,9 | 2025-05-26T20:14:05.2578694Z
DADOS | WAVY_73 | AGREGADOR_2 | Humidade | 78,9 | 2025-05-26T20:14:06.0987691Z
DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 86,9 | 2025-05-26T20:14:25.1624019Z
DADOS | WAVY_45 | AGREGADOR_2 | Humidade | 84,3 | 2025-05-26T20:14:25.8921843Z
DADOS | WAVY_46 | AGREGADOR_2 | Humidade | 96,5 | 2025-05-26T20:14:26.4361264Z
DADOS | WAVY_53 | AGREGADOR_2 | Humidade | 64,3 | 2025-05-26T20:14:38.4972777Z
DADOS | WAVY_54 | AGREGADOR_2 | Humidade | 40,6 | 2025-05-26T20:14:39.3674817Z
DADOS | WAVY_55 | AGREGADOR_2 | Humidade | 74,8 | 2025-05-26T20:14:40.0071765Z
DADOS | WAVY_62 | AGREGADOR_2 | Humidade | 89,5 | 2025-05-26T20:14:51.0843658Z
DADOS | WAVY_63 | AGREGADOR_2 | Humidade | 43,7 | 2025-05-26T20:14:51.9112201Z
DADOS | WAVY_64 | AGREGADOR_2 | Humidade | 82,1 | 2025-05-26T20:14:52.6916496Z
