DADOS | WAVY_41 | AGREGADOR_4 | Pressão | 989,2 | 2025-05-26T20:12:18.5772472Z
DADOS | WAVY_42 | AGREGADOR_4 | Pressão | 1041,8 | 2025-05-26T20:12:19.3584581Z
DADOS | WAVY_50 | AGREGADOR_4 | Pressão | 1031,2 | 2025-05-26T20:12:34.6506503Z
DADOS | WAVY_51 | AGREGADOR_4 | Pressão | 996,5 | 2025-05-26T20:12:35.3297716Z
DADOS | WAVY_52 | AGREGADOR_4 | Pressão | 1028,6 | 2025-05-26T20:12:35.9100618Z
DADOS | WAVY_59 | AGREGADOR_4 | Pressão | 1036,5 | 2025-05-26T20:12:45.9729221Z
DADOS | WAVY_60 | AGREGADOR_4 | Pressão | 1020,4 | 2025-05-26T20:12:46.8936344Z
DADOS | WAVY_61 | AGREGADOR_4 | Pressão | 990,6 | 2025-05-26T20:12:47.6491197Z
DADOS | WAVY_68 | AGREGADOR_4 | Pressão | 1002,6 | 2025-05-26T20:13:00.0743256Z
DADOS | WAVY_70 | AGREGADOR_4 | Pressão | 986,9 | 2025-05-26T20:13:01.8949584Z
DADOS | WAVY_41 | AGREGADOR_4 | Pressão | 988,6 | 2025-05-26T20:13:18.8131145Z
DADOS | WAVY_43 | AGREGADOR_4 | Pressão | 994,3 | 2025-05-26T20:13:20.1823789Z
DADOS | WAVY_51 | AGREGADOR_4 | Pressão | 1048,3 | 2025-05-26T20:13:35.5010552Z
DADOS | WAVY_52 | AGREGADOR_4 | Pressão | 1008,7 | 2025-05-26T20:13:36.0805712Z
DADOS | WAVY_59 | AGREGADOR_4 | Pressão | 1045,7 | 2025-05-26T20:13:46.1921289Z
DADOS | WAVY_61 | AGREGADOR_4 | Pressão | 1026,9 | 2025-05-26T20:13:47.8138383Z
DADOS | WAVY_69 | AGREGADOR_4 | Pressão | 1017,8 | 2025-05-26T20:14:01.1785116Z
DADOS | WAVY_70 | AGREGADOR_4 | Pressão | 998,4 | 2025-05-26T20:14:02.0617156Z
DADOS | WAVY_41 | AGREGADOR_4 | Pressão | 1013,4 | 2025-05-26T20:14:18.8387181Z
DADOS | WAVY_42 | AGREGADOR_4 | Pressão | 1001,8 | 2025-05-26T20:14:19.5285374Z
DADOS | WAVY_43 | AGREGADOR_4 | Pressão | 1047,8 | 2025-05-26T20:14:20.2019311Z
DADOS | WAVY_50 | AGREGADOR_4 | Pressão | 999,9 | 2025-05-26T20:14:34.8536407Z
DADOS | WAVY_52 | AGREGADOR_4 | Pressão | 998,8 | 2025-05-26T20:14:36.1077033Z
DADOS | WAVY_59 | AGREGADOR_4 | Pressão | 1042,3 | 2025-05-26T20:14:46.2132251Z
DADOS | WAVY_60 | AGREGADOR_4 | Pressão | 1025,1 | 2025-05-26T20:14:47.0989613Z
DADOS | WAVY_61 | AGREGADOR_4 | Pressão | 983,8 | 2025-05-26T20:14:47.8335933Z
DADOS | WAVY_68 | AGREGADOR_4 | Pressão | 1020,2 | 2025-05-26T20:15:00.3038606Z
DADOS | WAVY_42 | AGREGADOR_4 | Pressão | 1024,4 | 2025-05-26T20:15:19.5580562Z
DADOS | WAVY_43 | AGREGADOR_4 | Pressão | 1016,4 | 2025-05-26T20:15:20.2202628Z
DADOS | WAVY_50 | AGREGADOR_4 | Pressão | 980,5 | 2025-05-26T20:15:34.8777062Z
DADOS | WAVY_51 | AGREGADOR_4 | Pressão | 987,9 | 2025-05-26T20:15:35.5330894Z
DADOS | WAVY_59 | AGREGADOR_4 | Pressão | 1026,8 | 2025-05-26T20:15:46.2267266Z
DADOS | WAVY_60 | AGREGADOR_4 | Pressão | 1004,6 | 2025-05-26T20:15:47.1186072Z
DADOS | WAVY_68 | AGREGADOR_4 | Pressão | 1009,9 | 2025-05-26T20:16:00.3248035Z
DADOS | WAVY_70 | AGREGADOR_4 | Pressão | 1031,3 | 2025-05-26T20:16:02.1189862Z
DADOS | WAVY_41 | AGREGADOR_4 | Pressão | 1016,2 | 2025-05-26T20:16:18.8764634Z
DADOS | WAVY_43 | AGREGADOR_4 | Pressão | 1043,5 | 2025-05-26T20:16:20.2358951Z
DADOS | WAVY_50 | AGREGADOR_4 | Pressão | 1048,4 | 2025-05-26T20:16:34.8932996Z
DADOS | WAVY_51 | AGREGADOR_4 | Pressão | 1021,6 | 2025-05-26T20:16:35.5526373Z
DADOS | WAVY_52 | AGREGADOR_4 | Pressão | 1003,5 | 2025-05-26T20:16:36.1459561Z
