DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:12:12.2055332Z
DADOS | WAVY_39 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:12:13.0531441Z
DADOS | WAVY_40 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:12:13.7477129Z
DADOS | WAVY_41 | AGREGADOR_1 | Temperatura | 25,6 | 2025-05-26T20:12:18.5772472Z
DADOS | WAVY_42 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:12:19.3584581Z
DADOS | WAVY_43 | AGREGADOR_1 | Temperatura | 21,5 | 2025-05-26T20:12:20.0431953Z
DADOS | WAVY_44 | AGREGADOR_1 | Temperatura | 22,8 | 2025-05-26T20:12:24.9785021Z
DADOS | WAVY_45 | AGREGADOR_1 | Temperatura | 19,9 | 2025-05-26T20:12:25.7431031Z
DADOS | WAVY_46 | AGREGADOR_1 | Temperatura | 24,6 | 2025-05-26T20:12:26.2796831Z
DADOS | WAVY_47 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:12:30.8059218Z
DADOS | WAVY_48 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:12:31.5198969Z
DADOS | WAVY_49 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:12:32.1705208Z
DADOS | WAVY_50 | AGREGADOR_1 | Temperatura | 19,4 | 2025-05-26T20:12:34.6506503Z
DADOS | WAVY_51 | AGREGADOR_1 | Temperatura | 23,2 | 2025-05-26T20:12:35.3297716Z
DADOS | WAVY_52 | AGREGADOR_1 | Temperatura | 22,1 | 2025-05-26T20:12:35.9100618Z
DADOS | WAVY_53 | AGREGADOR_1 | Temperatura | 23,6 | 2025-05-26T20:12:38.3452288Z
DADOS | WAVY_54 | AGREGADOR_1 | Temperatura | 20,1 | 2025-05-26T20:12:39.1941516Z
DADOS | WAVY_55 | AGREGADOR_1 | Temperatura | 18,6 | 2025-05-26T20:12:39.8508089Z
DADOS | WAVY_56 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:12:42.1673552Z
DADOS | WAVY_57 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:12:43.0703101Z
DADOS | WAVY_58 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:12:43.8737015Z
DADOS | WAVY_59 | AGREGADOR_1 | Temperatura | 25,3 | 2025-05-26T20:12:45.9729221Z
DADOS | WAVY_60 | AGREGADOR_1 | Temperatura | 22,7 | 2025-05-26T20:12:46.8936344Z
DADOS | WAVY_61 | AGREGADOR_1 | Temperatura | 25,3 | 2025-05-26T20:12:47.6491197Z
DADOS | WAVY_62 | AGREGADOR_1 | Temperatura | 23,4 | 2025-05-26T20:12:50.9162545Z
DADOS | WAVY_63 | AGREGADOR_1 | Temperatura | 21,1 | 2025-05-26T20:12:51.7445192Z
DADOS | WAVY_64 | AGREGADOR_1 | Temperatura | 20,7 | 2025-05-26T20:12:52.5071189Z
DADOS | WAVY_65 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:12:54.8588042Z
DADOS | WAVY_66 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:12:55.7352652Z
DADOS | WAVY_67 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:12:56.4803356Z
DADOS | WAVY_68 | AGREGADOR_1 | Temperatura | 19,7 | 2025-05-26T20:13:00.0743256Z
DADOS | WAVY_69 | AGREGADOR_1 | Temperatura | 18,7 | 2025-05-26T20:13:00.9701122Z
DADOS | WAVY_70 | AGREGADOR_1 | Temperatura | 25,8 | 2025-05-26T20:13:01.8949584Z
DADOS | WAVY_71 | AGREGADOR_1 | Temperatura | 25,7 | 2025-05-26T20:13:04.1101522Z
DADOS | WAVY_72 | AGREGADOR_1 | Temperatura | 22,1 | 2025-05-26T20:13:05.0780581Z
DADOS | WAVY_73 | AGREGADOR_1 | Temperatura | 23,4 | 2025-05-26T20:13:05.9390767Z
DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:12.3203893Z
DADOS | WAVY_39 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:13:13.1593528Z
DADOS | WAVY_40 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:13.8628124Z
DADOS | WAVY_41 | AGREGADOR_1 | Temperatura | 20,5 | 2025-05-26T20:13:18.8131145Z
DADOS | WAVY_42 | AGREGADOR_1 | Temperatura | 24,6 | 2025-05-26T20:13:19.5149729Z
DADOS | WAVY_43 | AGREGADOR_1 | Temperatura | 19,1 | 2025-05-26T20:13:20.1823789Z
DADOS | WAVY_44 | AGREGADOR_1 | Temperatura | 19,6 | 2025-05-26T20:13:25.1454131Z
DADOS | WAVY_45 | AGREGADOR_1 | Temperatura | 19,4 | 2025-05-26T20:13:25.8632198Z
DADOS | WAVY_46 | AGREGADOR_1 | Temperatura | 21,1 | 2025-05-26T20:13:26.4099282Z
DADOS | WAVY_47 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:30.9607027Z
DADOS | WAVY_48 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:31.6594885Z
DADOS | WAVY_49 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:32.2848684Z
DADOS | WAVY_50 | AGREGADOR_1 | Temperatura | 23,4 | 2025-05-26T20:13:34.8322789Z
DADOS | WAVY_51 | AGREGADOR_1 | Temperatura | 23,8 | 2025-05-26T20:13:35.5010552Z
DADOS | WAVY_52 | AGREGADOR_1 | Temperatura | 24,5 | 2025-05-26T20:13:36.0805712Z
DADOS | WAVY_53 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:13:38.4836995Z
DADOS | WAVY_54 | AGREGADOR_1 | Temperatura | 21,4 | 2025-05-26T20:13:39.3427673Z
DADOS | WAVY_55 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:13:39.9939836Z
DADOS | WAVY_56 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:13:42.3403954Z
DADOS | WAVY_57 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:13:43.2281358Z
DADOS | WAVY_58 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:13:43.9931872Z
DADOS | WAVY_59 | AGREGADOR_1 | Temperatura | 20,7 | 2025-05-26T20:13:46.1921289Z
DADOS | WAVY_60 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:13:47.0805487Z
DADOS | WAVY_61 | AGREGADOR_1 | Temperatura | 23,1 | 2025-05-26T20:13:47.8138383Z
DADOS | WAVY_62 | AGREGADOR_1 | Temperatura | 23,8 | 2025-05-26T20:13:51.0712275Z
DADOS | WAVY_63 | AGREGADOR_1 | Temperatura | 21,5 | 2025-05-26T20:13:51.8876925Z
DADOS | WAVY_64 | AGREGADOR_1 | Temperatura | 18,1 | 2025-05-26T20:13:52.6802207Z
DADOS | WAVY_65 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:13:54.9974194Z
DADOS | WAVY_66 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:13:55.8731805Z
