DADOS | WAVY_44 | AGREGADOR_2 | Velocidade do Vento | 19,3 | 2025-05-26T20:12:24.9785021Z
DADOS | WAVY_45 | AGREGADOR_2 | Velocidade do Vento | 21,4 | 2025-05-26T20:12:25.7431031Z
DADOS | WAVY_46 | AGREGADOR_2 | Velocidade do Vento | 7,0 | 2025-05-26T20:12:26.2796831Z
DADOS | WAVY_53 | AGREGADOR_2 | Velocidade do Vento | 25,8 | 2025-05-26T20:12:38.3452288Z
DADOS | WAVY_54 | AGREGADOR_2 | Velocidade do Vento | 9,7 | 2025-05-26T20:12:39.1941516Z
DADOS | WAVY_55 | AGREGADOR_2 | Velocidade do Vento | 16,9 | 2025-05-26T20:12:39.8508089Z
DADOS | WAVY_62 | AGREGADOR_2 | Velocidade do Vento | 5,8 | 2025-05-26T20:12:50.9162545Z
DADOS | WAVY_64 | AGREGADOR_2 | Velocidade do Vento | 22,2 | 2025-05-26T20:12:52.5071189Z
DADOS | WAVY_73 | AGREGADOR_2 | Velocidade do Vento | 14,8 | 2025-05-26T20:13:05.9390767Z
DADOS | WAVY_44 | AGREGADOR_2 | Velocidade do Vento | 12,3 | 2025-05-26T20:13:25.1454131Z
DADOS | WAVY_45 | AGREGADOR_2 | Velocidade do Vento | 11,8 | 2025-05-26T20:13:25.8632198Z
DADOS | WAVY_46 | AGREGADOR_2 | Velocidade do Vento | 21,6 | 2025-05-26T20:13:26.4099282Z
DADOS | WAVY_53 | AGREGADOR_2 | Velocidade do Vento | 11,1 | 2025-05-26T20:13:38.4836995Z
DADOS | WAVY_54 | AGREGADOR_2 | Velocidade do Vento | 16,0 | 2025-05-26T20:13:39.3427673Z
DADOS | WAVY_55 | AGREGADOR_2 | Velocidade do Vento | 14,2 | 2025-05-26T20:13:39.9939836Z
DADOS | WAVY_62 | AGREGADOR_2 | Velocidade do Vento | 19,2 | 2025-05-26T20:13:51.0712275Z
DADOS | WAVY_63 | AGREGADOR_2 | Velocidade do Vento | 2,0 | 2025-05-26T20:13:51.8876925Z
DADOS | WAVY_64 | AGREGADOR_2 | Velocidade do Vento | 7,9 | 2025-05-26T20:13:52.6802207Z
DADOS | WAVY_71 | AGREGADOR_2 | Velocidade do Vento | 9,0 | 2025-05-26T20:14:04.2530636Z
DADOS | WAVY_72 | AGREGADOR_2 | Velocidade do Vento | 1,6 | 2025-05-26T20:14:05.2578694Z
DADOS | WAVY_73 | AGREGADOR_2 | Velocidade do Vento | 22,2 | 2025-05-26T20:14:06.0987691Z
DADOS | WAVY_44 | AGREGADOR_2 | Velocidade do Vento | 14,7 | 2025-05-26T20:14:25.1624019Z
DADOS | WAVY_45 | AGREGADOR_2 | Velocidade do Vento | 15,5 | 2025-05-26T20:14:25.8921843Z
DADOS | WAVY_46 | AGREGADOR_2 | Velocidade do Vento | 10,0 | 2025-05-26T20:14:26.4361264Z
DADOS | WAVY_54 | AGREGADOR_2 | Velocidade do Vento | 21,7 | 2025-05-26T20:14:39.3674817Z
DADOS | WAVY_55 | AGREGADOR_2 | Velocidade do Vento | 26,5 | 2025-05-26T20:14:40.0071765Z
DADOS | WAVY_62 | AGREGADOR_2 | Velocidade do Vento | 0,5 | 2025-05-26T20:14:51.0843658Z
DADOS | WAVY_72 | AGREGADOR_2 | Velocidade do Vento | 17,2 | 2025-05-26T20:15:05.2840901Z
DADOS | WAVY_73 | AGREGADOR_2 | Velocidade do Vento | 19,3 | 2025-05-26T20:15:06.1114715Z
DADOS | WAVY_44 | AGREGADOR_2 | Velocidade do Vento | 0,3 | 2025-05-26T20:15:25.1769952Z
DADOS | WAVY_46 | AGREGADOR_2 | Velocidade do Vento | 2,2 | 2025-05-26T20:15:26.4718855Z
DADOS | WAVY_53 | AGREGADOR_2 | Velocidade do Vento | 0,5 | 2025-05-26T20:15:38.5234660Z
DADOS | WAVY_62 | AGREGADOR_2 | Velocidade do Vento | 25,2 | 2025-05-26T20:15:51.0998238Z
DADOS | WAVY_63 | AGREGADOR_2 | Velocidade do Vento | 23,9 | 2025-05-26T20:15:51.9262393Z
DADOS | WAVY_64 | AGREGADOR_2 | Velocidade do Vento | 13,4 | 2025-05-26T20:15:52.7095856Z
DADOS | WAVY_72 | AGREGADOR_2 | Velocidade do Vento | 12,2 | 2025-05-26T20:16:05.3140544Z
DADOS | WAVY_73 | AGREGADOR_2 | Velocidade do Vento | 18,7 | 2025-05-26T20:16:06.1242680Z
DADOS | WAVY_44 | AGREGADOR_2 | Velocidade do Vento | 15,0 | 2025-05-26T20:16:25.2007521Z
DADOS | WAVY_46 | AGREGADOR_2 | Velocidade do Vento | 12,4 | 2025-05-26T20:16:26.4851153Z
DADOS | WAVY_53 | AGREGADOR_2 | Velocidade do Vento | 2,4 | 2025-05-26T20:16:38.5502185Z
DADOS | WAVY_54 | AGREGADOR_2 | Velocidade do Vento | 29,3 | 2025-05-26T20:16:39.4069228Z
DADOS | WAVY_55 | AGREGADOR_2 | Velocidade do Vento | 19,4 | 2025-05-26T20:16:40.0479396Z
